Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Net migration,SM.POP.NETM,Nigeria,NGA,107212,34146,10588,-49351,-145917,-54315,15016,-81384,-103989,-4824,-76364,..
Net migration,SM.POP.NETM,United Kingdom,GBR,-701,161157,268067,261389,254218,246940,239014,230577,221179,211063,202027,..
Net migration,SM.POP.NETM,South Africa,ZAF,231224,-80388,63794,290874,644996,-866101,-10681,27265,22728,30852,10934,..
Net migration,SM.POP.NETM,United States,USA,1421775,1479676,1320840,1250914,1221849,1449371,1377630,1200796,1158444,675560,561580,..
Net migration,SM.POP.NETM,China,CHN,-290067,-549792,-137444,-198432,-155379,-153054,-180592,-296674,-302609,-33649,-200194,..
Net migration,SM.POP.NETM,Japan,JPN,26291,84477,134721,139401,150215,156993,164070,177470,183953,87584,87584,..
Net migration,SM.POP.NETM,Spain,ESP,-38206,175213,-254292,-94869,-871,89021,167475,339064,458942,208791,275022,..
Net migration,SM.POP.NETM,Canada,CAN,145270,201617,242475,195649,232738,320494,361274,417974,391914,195181,195181,..
Net migration,SM.POP.NETM,United Arab Emirates,ARE,64939,131735,-15566,-14954,-14154,-13520,-12895,-8582,-4466,-2762,-2762,..
Net migration,SM.POP.NETM,Singapore,SGP,44423,39387,67504,60308,40958,36498,35449,35726,40624,21324,19321,..
Net migration,SM.POP.NETM,France,FRA,11404,102857,36552,26585,18807,14729,13175,14391,17403,18335,20614,..
Net migration,SM.POP.NETM,Malaysia,MYS,94487,174011,102150,94785,80603,97737,78257,60604,60824,57483,46165,..
Net migration,SM.POP.NETM,Kenya,KEN,-11341,5407,-57630,-72415,-95981,-29727,-68704,-115434,-61946,-17106,-52549,..
Net migration,SM.POP.NETM,Ghana,GHA,-46822,-4208,-2388,-6316,-13308,7014,-4914,-19374,-21860,-297,-11253,..
Net migration,SM.POP.NETM,Mexico,MEX,-286584,-356430,-101719,-100413,-82173,33094,-12438,-99430,-47764,-9949,-52649,..
Net migration,SM.POP.NETM,Russian Federation,RUS,257950,404928,291552,260843,384942,373316,350105,336527,333509,340711,320617,..
Net migration,SM.POP.NETM,"Egypt, Arab Rep.",EGY,6995,-2815,163449,5961,-79150,4132,-23281,-61050,-59715,4476,-32370,..
Net migration,SM.POP.NETM,Brazil,BRA,6457,-1761,35308,24940,4764,82589,56362,67934,69186,56880,20376,..
Net migration,SM.POP.NETM,Italy,ITA,21268,49166,154366,50102,34031,49591,70475,75863,21615,28021,28021,..
Net migration,SM.POP.NETM,India,IND,108465,-149966,-236387,-310694,-475094,68119,-219656,-561563,-593495,-34772,-301970,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,
